states,x,y
Andhra Pradesh,-62,-97
Arunachal Pradesh,190,136
Assam,150,93
Bihar,43,75
Chhattisgarh,-19,-10
Delhi,-87,130
Goa,-145,-110
Gujarat,-193,33
Haryana,-103,133
Himachal Pradesh,-90 ,183
Jharkhand,39 ,33
Jammu and Kashmir,-124 ,228
Karnataka,-118 ,-132
Kerala,-108,-198
Madhya Pradesh,-92 ,29
Maharashtra,-120 ,-34
Manipur,182 ,65
Meghalaya,130 ,74
Mizoram,169 ,43
Nagaland,195 ,90
Orissa,30 ,-14
Punjab,-118 ,165
Rajasthan,-172 ,98
Sikkim,93 ,111
Tamil Nadu,-76,-199
Telangana,-66 ,-57
Tripura,153 ,40
Uttar Pradesh,-34 ,90
Uttarakhand,48 ,73
West Bengal,-19 ,-10